Sheet,Added References,Isotope Sample Type,Sample Prep Notes ,Sr NBS Reported,
Salinity,"Benson, L.V. 2016 The Chuska Slope as an agricultural alternative to Chaco Canyon: A rebuttal of Tankersley et al. (2016). Journal of Archaeological Science: Reports 16:456-471",None - Soil waters,,,
CompiledData,"Benson, L.V. et al. 2008 Development and evaluation of geochemical methods for the sourcing of archaeological maize. Journal of Archaeological science. Vol. 45(4) 912-921",Deer mice and soil waters,,0.71028 +/- 0.00002,
CompiledData,"Benson, L.V. et al. 2009 Possible sources of archaeological maize found in Chaco Canyon and Aztec Ruin, New Mexico. Journal of Archaeological Science. Vol. 36:387-407","Maize (cobs), soil waters",,0.71028 +/- 0.00002,
CompiledData,"Benson, LV. 2011 Development and Application of Methods Used to Source Prehistoric Southwestern Maize: A Review. Journal of Archaeological Science ","Maize (cobs), soil waters",Sr extracted from soils with 1M acetic acid or 1% nitric acid,0.71028 +/- 0.00002,
CompiledData,"Benson, L.V. et al. 2019. Prehistoric Chaco Canyon, New Mexico: Importation of meat and maize. Journal of Archaeological Science. 111:105015. ","Rabbitbrush, maize, water",,0.71028 +/- 0.00002,
CompiledData,"Chisholm and Matson. 1994 Carbon and Nitrogen Isotopic Evidence on Basketmaker II Diet at Cedar Mesa, Utah. Kiva 60(2):239-255","Human bone (collagen), plants (rice grass, maize)",,,
CompiledData,"Coltrain, Joan Brenner. 1997. Fremont Economic Diversity: A Stable Carbon Isotope Study of Formative Subsistence Practices in the Eastern Great Basin. PhD Thesis.",Human bone (collagen) ,,,
CompiledData,"Coltrain and Stafford. 1999 Stable Carbon Isotopes and Great Salt Lake Wetlands Diet: Toward an Understanding of the Great Basin Formative. IN Prehistoric Lifeways in the Great Basin Wetlans: Bioarchaeological Reconstruction and Interpretation, edited by Brian Hemphill and Clark Spencer Larsen, University of Utah Press.",Human bone (collagen) ,,,
CompiledData,Coltrain and Leavitt. 2002 Climate and Diet in Fremont Prehistory: Economic Variability and Abandonment of Maize Agriculture in the Great Salt Lake Basin. American Antiquity 67(3):453-485,"Human bone (collagen), fauna bone, plants",,,Technically outside CO plateau area
CompiledData,"Coltrain, J.B. et al. 2007 The stable and radioisotope chemistry of western basketmaker burials: implications for early puebloan diets and origins. American Antiquity i72(2):301-321",Human bone (collagen) ,,,
CompiledData,"Coltrain and Janetski. 2013 The stable and radio-isotope chemistry of southeastern Utah Basketmaker II burials: dietary analysis using the linear mixing model SISUS, age and sex patterning, geolocation and temporal patterning. Journal of Archaeological Science 40:4711-4730",Human bone (collagen and apatite) ,0.1 M acetic acid,,
CompiledData,"Conrad et al. 2016 Bone isotopes, eggshell and turkey husbandry at Arroyo Hondo Pueblo. Journal of Archaeological Science: Reports 30:566-574",,,,
CompiledData,"Cooper, Catherine. 2013 Determining Short-Term Dietary Change in the American Southwest: Seasonality Using Isotopic Analysis of Human Hair. MA Thesis. (see also Cooper et al 2016)",,,,
Elements,"Cordell, L. et al. 2001 Toward Linking Maize Chemistry to Archaeological Agricultural Sites in the North American Southwest. Journal of Archaeological Science 28:501-513",,,,
CompiledData,"DeBoer, Beau and Tykot, Robert. Reconstructing Ancestral Puebloan Diets in the Middle San Juan River, New Mexico through Stable Isotope Analysis. SAA Talk, 72nd annual meeting",,not reported,,
CompiledData,"Decker, Kenneth and Tieszen, Larry. 1989 Isotopic Reconstruction of Mesa Verde Diet from Basketmaker III to Pueblo III. Kiva 55(1):33-46",,,,
CompiledData,Dudas et al. 2016 Pb and Sr concentrations and isotopic compositions in prehistoric North American teeth: A methodological study. Chemical Geology 429:21-32,,,0.710240 ± 18 (2 σ) ,
CompiledData,"English, Nathan B.; Julio L. Betancourt, Jeffrey S. Dean, and Jay Quade. 2001 Strontium Isotopes Reveal Distant Sources of Architectural Timber in Chaco Cnayon, New Mexico. Proceedings of the National Academy of Sciences of the United States of America. Vol. 98 (21) 2001:11891-11896",,,0.7102453 +/1 12 (1 sigma),
CompiledData,Ezzo et al. 1997 Analytical Perspectives on Prehistoric Migration: A Case Study from East-Central Arizona. Journal of Archaeological Science 24:447-466,,,0.710338 +/- 0.000018,
CompiledData,"Fisher, Jacob. 2010 Costly Signaling and Changing Faunal Abundances at Five Finger Ridge, Utah. PhD Thesis.",,,0.71024 +/- 0.00005,
CompiledData,"Grimstead, Deanna N. 2011 Applications of Evolutionary Ecology and Isotope geochemistry shed light on North American Prehistoric Human Behavior and Regional Procurement Systems. Unpublished Dissertation UMI Michigan",,0.1M acetic acid,0.7102584 +/- 0.000021,
CompiledData,"Grimstead, Deanna N. et al 2016 Isotopic evidence for long-distance mamal procurement, Chaco Canyon, New Mexico US. Geoarchaeology: An international journal 31(2016):335-354",,10% soln of 14M acetic acid,0.710258 +/- 0.000021,
