ChacoIsotopeDatabaseID,OriginalSampleID,OtherID,ModernArch?,IsotopeSystem(s),SampleType,TissueTType,TissueName,CollagenApatiteEnamel?,GenusOrder,Species,Group,CommonName,Description,SiteID,SanJuanBasin?,SiteNumber,Provenience,UTM,Easting,Northing,Longitude,Latitude,Elevation,Depth,RadiocarbonLabNumber,DatePeriod,DateBeginning,DateMid,DateEnd,DateRange,CollectionDate,Source,OtherNotes,SamplePrepMethod,SampleWeight,Sr87Sr86_Standard,Sr87Sr86_NonEnamel_Value_Raw,Sr87Sr86_NonEnamel_SD_Raw,Sr87Sr86_NonEnamel_Value_Standardized,Sr87Sr86_Enamel_Value_Raw,Sr87Sr86_Enamel_SD_Raw,Sr87Sr86_Enamel_Value_Standardized,d13C_Collagen_Value_Raw,d13C_Collagen_Value_SeussCorrection,d13C_Collagen_Value_SeussCorrection_VegBaselineCorrection,d13C_Apatite_Value_Raw,d13C_Apatite_Value_SeussCorrection,d13C_Apatite_Value_SeussCorrection_VegBaselineCorrection,d13C_Enamel_Value_Raw,d13C_Enamel_Value_SeussCorrection,d13C_Enamel_Value_SeussCorrection_VegBaselineCorrection,d13C_Enamel_SD,d13C_Vegetation_Value_Raw,d13C_Vegetation_Value_SeussCorrection,d13C_Hair_Value_Raw,d13C_Hair_Value_SeussCorrection,d13C_Hair_Value_SeussCorrection_VegBaselineCorrection,d13C_WtPercentC,d13C_WtPercentN,d18OVPDB_Apatite_Value_Raw,d18OVPBD_Apatite_SD,d18OVPDB_Apatite_Value_PrepCorrection,d18OVPDB_Enamel_Value_Raw,d18OVPDB_Enamel_SD,d18OVPDB_Apatite_Value_PrepCorrection,d18OVSMOW_Water_Value_Raw,d18OVSMOW_Water_SD,d18O_Value_VPDBConverted,d15N_Collagen_Value_Raw,d15N_CNRatio,d15N_AtomicCNRatio,d15N_PercentN,d15N_CollagenYield,d15N_WeightPercentCollagen,dD_Water_Value_Raw,dD_Water_SD,Pb206Pb204_Dentin_Value_Raw,Pb206Pb204_Dentin_SE,Pb207Pb204_Dentin_Value_Raw,Pb207Pb204_Dentin_SE,Pb208Pb204_Dentin_Value_Raw,Pb208Pb204_Dentin_SE,Pb207Pb206_Dentin_Value_Raw,Pb207Pb206_Dentin_SE,Pb208Pb206_Dentin_Value_Raw,Pb208Pb206_Dentin_SE,Pb_Dentin_ng,Pb_Dentin_SampleWeight_g,Pb_Dentin_ppm,Pb206Pb204_Enamel_Value_Raw,Pb206Pb204_Enamel_SE,Pb207Pb204_Enamel_Value_Raw,Pb207Pb204_Enamel_SE,Pb208Pb204_Enamel_Value_Raw,Pb208Pb204_Enamel_SE,Pb207Pb206_Enamel_Value_Raw,Pb207Pb206_Enamel_SE,Pb208Pb206_Enamel_Value_Raw,Pb208Pb206_Enamel_SE,Pb_Enamel_ng,Pb_Enamel_SampleWeight_g,Pb_Enamel_ppm
CID_1,1,,Archaeological,"C, N",Fauna,Bone,scapula,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, scapula",Arroyo Hondo,,LA 12,12-C-3C-2-4,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.2,-7.2,-12.2,-0.3,-0.3,-10,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_2,2,,Archaeological,"C, N",Fauna,Bone,tarsometatarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tarsometatarsus",Arroyo Hondo,,LA 12,12-C-6,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-8,-8,-13,-1.1,-1.1,-10.8,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_3,3,,Archaeological,"C, N",Fauna,Bone,carpometacarpus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, carpometacarpus",Arroyo Hondo,,LA 12,12-C-3C-2-4,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-8.5,-8.5,-13.5,-1.4,-1.4,-11.1,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_4,4,,Archaeological,"C, N",Fauna,Bone,tibiotarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tibiotarsus",Arroyo Hondo,,LA 12,12-C-8,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.4,-7.4,-12.4,-1.3,-1.3,-11,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_5,5,,Archaeological,"C, N",Fauna,Bone,ulna,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, ulna",Arroyo Hondo,,LA 12,12-C-8,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-8.4,-8.4,-13.4,-2.2,-2.2,-11.9,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_6,6,,Archaeological,"C, N",Fauna,Bone,humerus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, humerus",Arroyo Hondo,,LA 12,12-C-A-2-4-4,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-9,-9,-14,-1,-1,-10.7,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_7,7,,Archaeological,"C, N",Fauna,Bone,tarsometatarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tarsometatarsus",Arroyo Hondo,,LA 12,12-C-3C-1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.5,-7.5,-12.5,-1.1,-1.1,-10.8,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_8,8,,Archaeological,"C, N",Fauna,Bone,tibiotarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tibiotarsus",Arroyo Hondo,,LA 12,12-C-A-4,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-8.7,-8.7,-13.7,-1.3,-1.3,-11,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_9,9,,Archaeological,"C, N",Fauna,Bone,carpometacarpus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, carpometacarpus",Arroyo Hondo,,LA 12,12-C-3C-2-4,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7,-7,-12,-0.8,-0.8,-10.5,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_10,10,,Archaeological,"C, N",Fauna,Bone,scapula,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, scapula",Arroyo Hondo,,LA 12,12-C-3C-3-4,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.3,-7.3,-12.3,-2.2,-2.2,-11.9,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_11,11,,Archaeological,"C, N",Fauna,Bone,humerus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, humerus",Arroyo Hondo,,LA 12,12-C-3C-1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.6,-7.6,-12.6,-1.9,-1.9,-11.6,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_12,12,,Archaeological,"C, N",Fauna,Bone,tarsometatarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tarsometatarsus",Arroyo Hondo,,LA 12,12-D-3-3-1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.8,-7.8,-12.8,-1.8,-1.8,-11.5,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_13,13,,Archaeological,"C, N",Fauna,Bone,humerus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, humerus",Arroyo Hondo,,LA 12,12-E-1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.2,-7.2,-12.2,-1.4,-1.4,-11.1,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_14,14,,Archaeological,"C, N",Fauna,Bone,humerus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, humerus",Arroyo Hondo,,LA 12,12-E-1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-6.8,-6.8,-11.8,-0.9,-0.9,-10.6,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_15,15,,Archaeological,"C, N",Fauna,Bone,scapula,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, scapula",Arroyo Hondo,,LA 12,12-18-14-IIIN/B1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.9,-7.9,-12.9,-0.8,-0.8,-10.5,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_16,16,,Archaeological,"C, N",Fauna,Bone,tibiotarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tibiotarsus",Arroyo Hondo,,LA 12,12-G-14A-2/B14,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-11.5,-11.5,-16.5,-3,-3,-12.7,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_17,17,,Archaeological,"C, N",Fauna,Bone,humerus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, humerus",Arroyo Hondo,,LA 12,12-G-100B-2/B5,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-8.3,-8.3,-13.3,-2,-2,-11.7,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_18,18,,Archaeological,"C, N",Fauna,Bone,ulna,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, ulna",Arroyo Hondo,,LA 12,12-18-49-3N&S/B1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.7,-7.7,-12.7,-1.7,-1.7,-11.4,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_19,19,,Archaeological,"C, N",Fauna,Bone,carpometacarpus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, carpometacarpus",Arroyo Hondo,,LA 12,12-G-14A-2/B13,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.4,-7.4,-12.4,-1.1,-1.1,-10.8,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_20,20,,Archaeological,"C, N",Fauna,Bone,tarsometatarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tarsometatarsus",Arroyo Hondo,,LA 12,12-G-26C-2/B14,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-8.6,-8.6,-13.6,-2.6,-2.6,-12.3,,,,,,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_21,21,,Archaeological,"C, N",Fauna,Bone,tibiotarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tibiotarsus",Arroyo Hondo,,LA 12,12-18-6-IIS/B2,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-8,-8,-13,-2.6,-2.6,-12.3,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_22,22,,Archaeological,"C, N",Fauna,Bone,tarsometatarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tarsometatarsus",Arroyo Hondo,,LA 12,12-G-1-3-W,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-9.5,-9.5,-14.5,-3,-3,-12.7,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_23,23,,Archaeological,"C, N",Fauna,Bone,carpometacarpus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, carpometacarpus",Arroyo Hondo,,LA 12,12-G-St1-1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.4,-7.4,-12.4,-2,-2,-11.7,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_24,24,,Archaeological,"C, N",Fauna,Bone,humerus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, humerus",Arroyo Hondo,,LA 12,12-G-2-4-10-1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.8,-7.8,-12.8,-1.1,-1.1,-10.8,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_25,25,,Archaeological,"C, N",Fauna,Bone,tibiotarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tibiotarsus",Arroyo Hondo,,LA 12,12-G-D6-2-3,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-9.5,-9.5,-14.5,-2.2,-2.2,-11.9,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_26,26,,Archaeological,"C, N",Fauna,Bone,coracoid,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, coracoid",Arroyo Hondo,,LA 12,12-C-5-1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.4,-7.4,-12.4,-1,-1,-10.7,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_27,27,,Archaeological,"C, N",Fauna,Bone,tibiotarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tibiotarsus",Arroyo Hondo,,LA 12,12-16-32-1,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-8.6,-8.6,-13.6,-1.3,-1.3,-11,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_28,28,,Archaeological,"C, N",Fauna,Bone,tibiotarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tibiotarsus",Arroyo Hondo,,LA 12,12-16-30-2/B9,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-8.3,-8.3,-13.3,-1.7,-1.7,-11.4,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_29,29,,Archaeological,"C, N",Fauna,Bone,humerus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, humerus",Arroyo Hondo,,LA 12,12-23-4-2,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.6,-7.6,-12.6,-1.7,-1.7,-11.4,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
