Object ID,Unique_ID,Sample_ID,Other_ID,Modern_or_Arch,Specimen_Type,Tissue_Type,Bone/Tooth_Type,Collagen/Apatite/Enamel,Genus/Order,Species,Group,CommonName,Description_of_Sample,Site_Name_or_Area,San Juan Basin?,Site_Number,Provenience,UTM,Easting,Northing,Longitude,Latitude,Elevation,Depth,Radiocarbon_Lab_No,Date_Period,Date_Beginning,Date_Med or actual,Date_End,Date_Range,Date of Collection,Source/Citation,Notes ,Sample weight (mg),Sr87/Sr86 Calibrated to NBS Standard (0.71029),Sr87/Sr86 (non-enamel),87Sr/86SR (non-enamel) SD (2 sigma),87Sr/86Sr (non-enamal) Standardized Value,87Sr/86Sr (Enamel),87Sr/86Sr (Enamel) 2-sigma s.e.,87Sr/86Sr (enamal) Standardized Value,% instrument error,Sr 1sigma,δ13 C Collagen,δ13 C bone apatite,δ13 C enamel,"δ13 C enamel, SD",δ13 C vegetation,δ13 C hair,"Suess Correction, δ13 C bioapatite ","Vegetation Baseline Correction, δ13 C bioapatite",Wt%C,Wt%N,δ18 O apatite vpdb (%o),δ18 O apatite vpdb (%o) SD,Corrected d18O(%o) apatite VDPB,δ18 O enamel vpdb (%o),Corrected d18O(%o) enamel VDPB,δ18 O vsmow (%o); aka δ18 O water,δ18 O vsmow (%o) SD,δ15 N Collagen,C:N,Atomic C:N,N(%),% Collagen Yield,Wt% Coll,δD vsmow (%o); aka δD water,d2H SD,Dentin Pb 206/204,% SE (Dentin Pb 206/204),Dentin Pb 207/204,% SE (Dentin Pb 207/204),Dentin Pb 208/204,% SE (Dentin Pb 208/204),Dentin Pb 207/206,% SE (Dentin Pb 207/206),Dentin Pb 208/206,% SE (Dentin Pb 208/206),Dentin Pb (ng),"Dentin Pb spl wt, g",Dentin Pb (ppm),Enamel Pb 206/204,% SE (Enamel Pb 206/204),Enamel Pb 207/204,% SE (Enamel Pb 207/204),Enamel Pb 208/204,% SE (Enamel Pb 208/204),Enamel Pb 207/206,% SE (Enamel Pb 207/206),Enamel Pb 208/206,% SE (Enamel Pb 208/206),Enamel Pb (ng),"Enamel Pb spl wt, g",Enamel Pb (ppm),208/204,207/204,206/204
5520,, PB4247/1824,,Archaeological,Fauna,Bone,,,Lagomorph,Sylvilagus,Lagomorph,Cottontail,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.9,,,,,,,,,,,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521,,PB5203/432,,Archaeological,Fauna,Bone,,,Lagomorph,Lepus,Lagomorph,Hare,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.5,,,,,,,,,,,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,,PB5325/596,,Archaeological,Fauna,Bone,,,Lagomorph,Lepus,Lagomorph,Hare,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,,,,,,,,,,,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5523,,PB7124/2279,,Archaeological,Fauna,Bone,,,Lagomorph,Lepus,Lagomorph,Hare,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3,,,,,,,,,,,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5524,,PB6528/3287,,Archaeological,Fauna,Bone,,,Lagomorph,Sylvilagus,Lagomorph,Cottontail,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,,PB4661/1986,,Archaeological,Fauna,Bone,,,Lagomorph,Sylvilagus,Lagomorph,Cottontail,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,,,,,,,,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5526,,PB3230/2002,,Archaeological,Fauna,Bone,,,Lagomorph,Lepus,Lagomorph,Hare,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8,,,,,,,,,,,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5527,,PB4246/1824,,Archaeological,Fauna,Bone,,,Lagomorph,Sylvilagus,Lagomorph,Cottontail,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,,,,,,,,,,,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5528,,PB7194/2272,,Archaeological,Fauna,Bone,,,Lagomorph,Sylvilagus,Lagomorph,Cottontail,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3,,,,,,,,,,,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5529,,PB2757/358,,Archaeological,Fauna,Bone,,,Lagomorph,Lepus,Lagomorph,Hare,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
