Object ID,Type of Sample,Sample ID,Lab/Museum/FS # if diff than Sample ID,Modern/Arch,Site Name/Area,Site Number,Provenience,Description of Sample,Date,UTM,Easting,Northing,Longitude,Latitude,Elevation,Elevation of Home Range,Depth,Mid Depth,Date of Collection,Source/Citation,Notes ,Links to Other Projects/Repositories,Weight ,Ag (ug/g),Ba (ug/g),Ca (ug/g),Ce (ug/g),Cr (ug/g),Cs (ug/g),Cu (ug/g),La (ug/g),Li (ug/g),Mn (ug/g),Mo (ug/g),Nd (ug/g),Rb (ug/g),Sr (ug/g),Ti (ug/g),U (ug/g),V (ug/g),Y (ug/g),Zn (ug/g)
,Vegetal,341/13/pr/CH,,Modern,Chaco-W,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0999,0.02,7.015,680,0.589,0.95,0.028,14.347,0.088,0.061,17.708,0.28,0.072,4.557,6.329,0.764,0.003,0.315,0.32,54.831
,Vegetal,338/16/pr/CH,,Modern,Chaco-W,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0998,0.031,9.713,910,0.837,0.743,0.077,14.108,0.041,0.071,19.93,0.443,0.037,5.208,7.816,1.316,0.012,0.319,0.505,56.007
,Vegetal,342/20/pr/CH,,Modern,Chaco-W,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1013,0.041,3.464,790,0.325,0.993,0.048,4.252,0.018,0.065,9.728,0.135,0.013,4.852,4.054,1.123,0.003,0.405,0.167,31.484
,Vegetal,503/25/pr/CH,,Modern,Chaco-W,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.0999,0.202,11.588,520,3.498,0.913,1.463,3.996,0.066,0.396,9.902,0.455,0.053,3.745,3.573,1.203,0.045,0.393,2.434,23.607
,Vegetal,336/31/pr/CH,,Modern,Chaco-W,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1008,0.048,9.857,750,1.148,0.576,0.362,3.804,0.091,0.155,16.353,0.305,0.08,3.895,4.913,2.428,0.012,0.386,0.572,43.971
,Vegetal,340/32/pr/CH,,Modern,Chaco-W,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1003,0.022,3.345,860,0.267,0.715,0.104,4.109,0.028,0.133,11.442,0.137,0.019,4.609,4.269,1.601,0.003,0.322,0.134,48.851
,Vegetal,343/33/pr/CH,,Modern,Chaco-W,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1004,0.049,1.464,590,0.679,0.77,0.134,3.728,0.035,0.111,6.18,0.496,0.024,4.036,3.844,1.622,0.005,0.31,0.282,49.063
,Vegetal,337/38/pr/CH,,Modern,Chaco-W,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1005,0.038,7.023,700,1.386,1.075,0.281,5.799,0.462,0.369,17.216,0.257,0.466,8.586,9.818,9.275,0.028,1.292,0.45,60.386
,Vegetal,339/40/pr/CH,,Modern,Chaco-W,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1002,0.036,1.016,270,0.755,1.047,0.032,12.132,0.051,0.123,10.173,0.44,0.041,11.756,1.042,1.225,0.003,0.501,0.409,46.093
,Vegetal,384/15/pr/CH,,Modern,Chaco-PB,,,Hopi Blue Corn,,,,,,,,,,,,"Cordell et al 2001, Table 2",,,0.1,0.014,7.289,1800,0.99,0.735,0.026,13.158,0.239,0.062,22.913,0.856,0.216,4.608,18.233,1.314,0.01,0.35,0.468,173.119
