KeyID,Element,Specimen no.,Class,Taxon,Bone apatite sample?,Well #,Weight (mg),Enamel sample?,Well #,Weight,Collagen sample ID#,Collagen sample? ,%N.Collagen,%C.Collagen,C:N.Collagen,d15N.Collagen,d13C.Collagen,d13C.Bone,d18O.Bone,d13C.Enamel,d18O.Enamel,Linked ID nos,FS No.,Northing,Easting,Provenience notes,Portion,Side,Age,Weathering score,Condition notes,Specimen notes,C:N.Collagen,d15N.Collagen,d13C.Collagen,d13C.Bone,d18O.Bone,d13C.Enamel,d18O.Enamel
1,Mandible,1,Mammalia,Sylvilagus sp.,Mandible,9,5.6,M1 Molar,61,13,CC01,Mandibular bone,14.7,40.8,2.8,9.4,-21.2,-11.2,-2,-10.9,3.4,Chaco Culture NHP,,3994794,233157,"13 S Elev.= 1880 m, Surface (2013)",intact,Left,adult,0 to 1,"medium sized crack on the mandibular fossa, only one, very minor weathering","Due to all the teeth erupted and have wearing, and the distinctive morphology along the anterior horizontal ramus (the mental foramena), most likely an adult  Sylvilagus.",2.8,9.4,-21.2,-11.2,-2,-10.9,3.4
2,Mandible *bone values averaged,2,Mammalia,Sylvilagus sp.,Mandible,23,8.1,Molar,11,5.7,CC02,Mandibular bone,13.6,37,2.7,3.7,-16.4,-9,-2.7,-7.8,-4.1,Chaco Culture NHP,,3995958,232315,"13 S (WGS 84), Elev.= 1889, Surface","mental symphysis (without incisor) with body (or horizontal ramus), broken off at start of ramus (or vertical ramus) ",Right,"sub-adult, juvenile",0,"little to no weathering, few cracks starting to form above the mental foramena","Missing  tooth (P3) and (I), the ramus (ventral ramus) is not present, all teeth are erupted (M3) has not fully erupted, possibly sub-adult. Due to mental foramena and teeth morphology, could be Sylvilagus.",2.7,3.7,-16.4,-9,-2.7,-7.8,-4.1
3A,Mandible  (2) (refit),3,Mammalia,Sylvilagus sp.,Mandible,14,8.8,,,,CC03,Mandibular bone,15.3,43,2.8,6.5,-17,-10.3,1.9,-9.6,0.6,Chaco Culture NHP,,3995988.3,239085.2,Elev.= 1933 m (5/24/14),"Mandible refit: Left mental symphysis present (no incisor) to the body of the mandible, the ramus is not present, as well as (M3) and (M2). Right mental symphysis present (with incisor), missing (P3) and (P2), missing from mental foramina on. ",Both,sub-adult to adult,0 to 1,"Left: cracking present along the body, Right: little to no cracking","Refit with left and right mandibles, (M2) possible refit on left mandible",2.8,6.5,-17,-10.3,1.9,-9.6,0.6
3B,Premaxilla,3,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3995988.3,239085.2,Elev.= 1933 m (5/24/14),"Premaxilla with inner incisors missing, right upper incisor missing, piece of left upper incisor still present",n/a ,sub-adult to adult,0,no cracking present,"Due to the overall size of the element, the multiple upper incisors, and the bone formation between the premaxilla, leads to possible Sylvilagus.",2.8,7.3,-20.1,-13.3,-3.7,-10.8,-1.5
3C,Maxilla,3,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3995988.3,239085.2,Elev.= 1933 m (5/24/14),"Right side of Maxilla with only (P4) and (M1) present, piece of left maxilla is present due to the fusing of the central suture on the maxilla",Right,sub-adult to adult,0,very few cracks present/forming.,"Missing (P2) (P3) (M2), (M3) section is not present/breaks off at that point. Maxilla fused, with suture present. The presence of the suture along with the overall size, possible sub-adult Sylvilagus.",2.9,9.2,-19.8,-12.8,-5.9,-11.9,-2
3D,Tooth (Possibly P3),3,Mammalia,Sylvilagus sp.,,,,P3,69,2.6,,,,,,,,,,,,Chaco Culture NHP,,3995988.3,239085.2,Elev.= 1933 m (5/24/14),"Most of tooth is intact, section of tooth chipped off near distal end.",Right,sub-adult to adult,0,"No cracking present, chip near the distal end",Tooth resembles similar morphology to (P3) from the Mandible.,3.1,15.7,-17.5,-7.2,-11.1,-6.5,-6.7
4,Mandible,4,Mammalia,Cervus elaphus,Mandible,17,4.9,M3 Molar,64,13.1,CC04,Mandibular bone,14.8,41.8,2.8,7.3,-20.1,-13.3,-3.7,-10.8,-1.5,Chaco Culture NHP,,3999528.1,231465,"13 S  (WGS 84), Elev.= 1883 m, Surface (2013)","Mental symphysis is missing, most of the body of the Mandible is intact, beginning of ramus is present until before the mandibular fossa.",Left,adult,2,"thick layer of dirt on the interior side of mandible, cracking along the bottom and sides, as well as flaking present.",All teeth are present and intact/ruptured and very worn down,2.8,13.2,-15.5,-11.556869,-6.45521319,-14.8,-4.5
5,Cranium ,5,Mammalia,Cervus elaphus,Crania,10,8.8,M3 Molar,28,8.2,CC05,Cranial bone,13.8,40.5,2.9,9.2,-19.8,-12.8,-5.9,-11.9,-2.0,Chaco Culture NHP,,3994641,232945,"13 S Elev.= 1873 m, Surface (Terrace in Chaco Wash)","Maxilla is intact, left zygomatic arch intact (right is not),  frontal and parietal, occipital, and temporal (left intact, right less intact/present)  bones present. Missing nasal bone and premaxilla.",n/a,subadult,1,"Level of cracking is hard see due to thick layer of dirt on specimen, but large crack on right maxilla. Possible root etching on frontal bone","Missing premaxilla and nasal bone, sutures are fused  but not fully (still very visible), all the teeth are erupted on maxilla, some wearing on teeth. ",2.8,4.1,-21.1,-12.8,-7.8,-13,-6.3
6,"almost entire skeleton, missing mandible *Enamel small peak",6,Mammalia,Neotoma stephensi,Ulna,71,3.8,Incisor ,70,2.3,CC06,Long bone,14.3,44.2,3.1,15.7,-17.5,-7.2,-11.1,-6.5,-6.7,Chaco Culture NHP,,3994850,233034,"13 S Elev.= 1878 m, Surface (2013)","Whole specimen (almost), missing mandible and most of scapula is missing/gnawed off.",n/a,adult,0,"most of skeleton is intact, multiple areas with skin/ligament present.","mostly intact specimen (except missing mandible), gnawing from small creatures on scapula.",2.8,6,-19,-13.3,-4.9,-10.6,0.4
7,Cranium ,7,Mammalia,Taxidea taxus,Crania,63,15.6,M3 Molar,62,15.4,CC07,Cranial bone,15.2,41.9,2.8,13.2,-15.5,-11.55686905,-6.455213186,-14.8,-4.5,Chaco Culture NHP,,3994155,234371,"13 S Elev.= 1888 m, Surface (2014)","Right premaxilla is present (only second incisor present), right maxilla is present with (P2) (P3) (P4) and (M1), right zygomatic arch is present, posterior end of left zygomatic arch is present. Frontal and parietal bone are present, ",n/a,sub-adult to adult,2 to 3,cracking and flaking very present all over specimen,"missing left zygomatic arch and rostrum, even though bone is weathered, still seems ""bumpy"" and not as smooth as an adult cranium would be, also have little fusing. ",2.8,6.5,-14,-6.8,-5.6,-6.3,-3.4
,,,,,,65,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,6.4,-12.9,-3.3,-5.7,-5,-3.6
8,Mandible,8,Mammalia,Odocoileus sp.,Mandible ,77,3.2,M3 Molar,39,8.8,CC08,Mandibular bone,15.3,42.4,2.8,4.1,-21.1,-12.8,-7.8,-13,-6.3,Chaco Culture NHP,,3991886,239657,"13 S Elev.= 1949 m, Surface (2014) Collected by NPS","Mental symphysis is intact on right and left with two left incisors and one right incisor present, (left mandible stops before the mental foramena), body of mandible is intact, ramus is partly intact at the mandibular fossa.",right (portion of left premaxilla still attached/fused),sub-adult to adult,2,cracking and flaking is present all along the specimen,"labeled bone: ""Campground 6/2014"", teeth are mostly intact and erupted premaxilla is fused, suture is very visible. due to the size and the level of fusing in the premaxilla, seems more sub-adult, since the teeth are all erupted and have had some wear. ",3.1,8.4,-16.3,,,-10.8,-5.5
9,Mandible (2) (refit),9,Mammalia,Cervus elaphus,Mandible,74,1.9,Molar M3,38,7.4,CC09,Mandibular bone,15.2,42.1,2.8,6,-19,-13.3,-4.9,-10.6,0.4,Chaco Culture NHP,,3996665,232779,"13 S (WGS 84), Elev.= 1889 m, Surface- Clys Canyon (2014)","Mental symphysis is intact (including most incisors, missing two outer incisors on right side), the body of the mandible is intact with all teeth intact (two pieces of teeth refit), parts of ramus are intact (very bottom of mandibular fossa on right and left mandible both indicate gnaw marks. Right ramus has gnawing marks on the mandibular condyle, gnawing markon on the left coronoid process of the mandible.",Both,sub-adult to adult,1,"Cracking is visible on both mandibles, no flaking is visible ","Mostly all teeth intact, (missing two incisors), refit with (P2) on left mandible, refit (M1) on right mandible.",2.8,7.3,-14.6,-11.5,-10.1,-7.6,-10.3
10,Small piece of Maxilla,10,Mammalia,Bos taurus,Maxilla,8,4.8,Molar,18,5.9,CC10,Maxillary bone,15.4,42.6,2.8,6.5,-14,-6.8,-5.6,-6.3,-3.4,Chaco Culture NHP,,3993755,232246,"13 S (WGS 84), Elev.= 1889 m, Surface (in South Gap) (2014)",section of the Maxilla attached to (P2) and (P3),left,"sub-adult, adult ",4,"Very cracked and flaked, cancellous bone is present and degrading. Teeth are erupted fully and cracked as well. ","Section of the Maxilla attached to (P2) and (P3), teeth are  worn down. hole in (P3)",,,,,,,
11,Piece of Maxilla,11,Mammalia,Bos taurus,Maxilla,13,9.3,M3 Molar,6,5.4,CC11,Maxillary bone,15.6,43.3,2.8,6.4,-12.9,-3.3,-5.7,-5,-3.6,Chaco Culture NHP,,3992872,233602.88,"Elev.= 1964.85, (Near 29SJ285) UNM (2014)",section of Maxilla attached to (M1) (P4) (P3) and (P2),right,unknown,4,"very weathered, a lot of cracking and flaking, the roots of the teeth are exposed and degrading",Section of Maxilla attached to (M1) (P4) (P3) and (P2) ,2.8,8.5,-19.9,-15.2,-5.2,-10.6,-7.2
