Object ID,Type of Sample,Sample ID,Lab/Museum/FS # if diff than Sample ID,Modern/Arch,Site Name/Area,Site Number,Provenience,Description of Sample,Date,UTM,Easting,Northing,Longitude,Latitude,Elevation,Depth,Mid Depth,Date of Collection,Source/Citation,Notes ,Links to Other Projects/Repositories,Inst disc. (cfs),pH,HCO3 (mM/L),HCO3 (mg/L),NO3-N (mM/L),NO3-N (mg/L),PO4-P (mM/L),PO4-P (mg/L),Ca (mM/L),Ca (mg/L),Mg (mM/L),Mg (mg/L),Na (mM/L),Na (mg/L),K (mM/L),K (mg/L),Cl (mM/L),Cl (mg/L),SO4 (mM/L),SO4 (mg/L),Residue (mg/L),Cond. (dS/m),HCO3 (% of mM/L),HCO3 (% of mg/L),Cond.@FC (dS/m),TIC (%C),TOC (%C),NO3-N (mg/kg),TON (%)
1,Water,8/6/76,,Modern,Chaco Wash,,,,8/6/76,,,,,,,,,8/6/76,"Benson 2016, Table 1 Pg.457",USGS survey data,,0.24,7.9,3.26,199,0.15,2.1,0.0032,0.1,0.35,14,0.045,1.1,3.78,87,0.064,2.5,0.118,4.2,0.48,46,276,0.445,85,80,,,,,
2,Water,2/9/78,,Modern,Chaco Wash,,,,2/9/78,,,,,,,,,2/9/78,"Benson 2016, Table 1 Pg.457",USGS survey data,,7.9,8,3.11,190,0.18,2.5,0.0023,0.07,0.27,11,0.033,0.8,4.18,96,0.077,3,0.099,3.5,0.81,78,311,0.43,77,70,,,,,
3,Water,8/14/77,,Modern,Chaco Wash,,,,8/14/77,,,,,,,,,8/14/77,"Benson 2016, Table 1 Pg.457",USGS survey data,,150,7.5,3.77,230,0.04,0.49,0.0019,0.06,0.52,21,0.074,1.8,3.74,86,0.077,3,0.090,3.2,0.59,57,301,0.49,85,79,,,,,
4,Water,2/12/79,,Modern,Gallo Wash,,,,2/12/79,,,,,,,,,2/12/79,"Benson 2016, Table 1 Pg.457",USGS survey data,,12,8.3,1.51,92,no data,no data,no data,no data,0.4,16,0.07,1.7,1.87,43,0.169,6.6,0.220,7.8,0.58,56,185,no data,65,59,,,,,
5,Soils,PB08-1,,Modern,Penasco Blanco,,,Floodpalin soil sample,,13S,231081,3996239,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.44,,,,,,,,,,,,,,,,,,,,0.5,,,2.51,0.095,0.61,3.35,0.036
6,Soils,PB08-1,,Modern,Penasco Blanco,,,Floodpalin soil sample,,13S,231081,3996239,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.21,,,,,,,,,,,,,,,,,,,,0.73,,,3.65,0.097,0.53,0.63,0.021
7,Soils,PB08-1,,Modern,Penasco Blanco,,,Floodpalin soil sample,,13S,231081,3996239,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.85,,,,,,,,,,,,,,,,,,,,1.34,,,6.71,0.109,0.48,1.59,0.022
8,Soils,PB08-1,,Modern,Penasco Blanco,,,Floodpalin soil sample,,13S,231081,3996239,,,,100 to 106,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9,,,,,,,,,,,,,,,,,,,,0.74,,,3.71,0.161,0.45,4.35,0.022
9,Soils,PB08-2,,Modern,Penasco Blanco,,,Floodpalin soil sample,,13S,231191,3996043,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.38,,,,,,,,,,,,,,,,,,,,0.98,,,4.91,0.071,0.69,9.83,0.055
10,Soils,PB08-2,,Modern,Penasco Blanco,,,Floodpalin soil sample,,13S,231191,3996043,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.21,,,,,,,,,,,,,,,,,,,,12.27,,,61.33,0,0.69,17.8,0.053
