dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_doi,pub2_doi,originalDataUrl,neotomaSiteId,neotomaDatasetId,archiveType,proxy,proxyDetail,proxyGeneral,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,direction,minYear,maxYear,medianHoloceneResolution,agesPerKyr,wNAmUncertainty,inThisCompilation,QC Certification,QC comments,link to lipdverse
3MPond.Pellatt.2000,3M Pond,North America>Canada>British Columbia,49.9833,-121.2167,1950,10.1080/15230430.2000.12003341,,www.ncdc.noaa.gov/paleo/study/27330,,,LakeSediment,chironomid,assemblage,chironomid,WAPLS,7,51 lakes from British Columbia (Palmer et al. 2002),temperature,degC,abs,T,air@surface,summer,summerOnly,positive,-275,11810,366,0.2482416218,1.4,TRUE,"MTO, IRW","only 3 dates in past 10 ka, but evenlly spaced; untenable youngest age",http://lipdverse.org/wNAm/0_16_2/3MPond.Pellatt.2000.html
893A.Kennet.2007,893A,Pacific Ocean>North Pacific Ocean,34.2875,-120.036,-588,10.1016/j.quascirev.2006.07.019,,www.ncdc.noaa.gov/paleo/study/27330,,,MarineSediment,d18O,pachyderma,isotope,"SST calculated from d18O (TSid=LPD05340dbbdp) using the bayfoxm program bayfox_predict. Parameters: prior_mean=14.1299, prior_std=10, species=pachy, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.4821) for the archive location and using the ages",,"SST calculated from d18O (TSid=LPD05340dbbdp) using the bayfoxm program bayfox_predict. Parameters: prior_mean=14.1299, prior_std=10, species=pachy, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.4821) for the archive location and using the ages",temperature,degC,abs,T,sea@surface,annual,annual,positive,62.788,10001.922,29.6,2.414697297,2.1,TRUE,"PMS, AdV",seasonality not specified explicitly by author but infered from general discussion in text.,http://lipdverse.org/wNAm/0_16_2/893A.Kennet.2007.html
893A.Kennet.2007,893A,Pacific Ocean>North Pacific Ocean,34.2875,-120.036,-588,10.1016/j.quascirev.2006.07.019,,www.ncdc.noaa.gov/paleo/study/27330,,,MarineSediment,d18O,bulloides,isotope,"SST calculated from d18O (TSid=LPD28794972dp) using the bayfoxm program bayfox_predict. Parameters: prior_mean=15.1862, prior_std=10, species=bulloides, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.4821) for the archive location and using the ages",,"SST calculated from d18O (TSid=LPD28794972dp) using the bayfoxm program bayfox_predict. Parameters: prior_mean=15.1862, prior_std=10, species=bulloides, bayes=unspecified; For d18osw, values are specified to change through time, and are calculated using the getvardelo.m program from Jess Tierney, based on the modern value of d18osw (-0.4821) for the archive location and using the ages",temperature,degC,abs,T,sea@surface,annual,annual,positive,8.97,10001.922,31.477,2.401692713,2.1,TRUE,"PMS, AdV",seasonality not specified explicitly by author but infered from general discussion in text.,http://lipdverse.org/wNAm/0_16_2/893A.Kennet.2007.html
Abalone.Cole.1994,Abalone,North America>United States Of America>California,33.96,-119.98,0,10.1006/qres.1994.1037,,www.ncdc.noaa.gov/paleo/study/27330,8,10.21233/N36P49,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,positive,-40,6113.9,193.2,1.624985781,2,TRUE,"LP, TB",cannot verify seasonality,http://lipdverse.org/wNAm/0_16_2/Abalone.Cole.1994.html
Abalone.Cole.1994,Abalone,North America>United States Of America>California,33.96,-119.98,0,10.1006/qres.1994.1037,,www.ncdc.noaa.gov/paleo/study/27330,8,10.21233/N36P49,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,positive,-40,6113.9,193.2,1.624985781,3,TRUE,"LP, TB",cannot verify seasonality,http://lipdverse.org/wNAm/0_16_2/Abalone.Cole.1994.html
Abalone.Cole.1994,Abalone,North America>United States Of America>California,33.96,-119.98,0,10.1006/qres.1994.1037,,www.ncdc.noaa.gov/paleo/study/27330,8,10.21233/N36P49,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,annual,annual,positive,-40,6113.9,193.2,1.624985781,2.1,TRUE,"LP, TB",cannot verify seasonality,http://lipdverse.org/wNAm/0_16_2/Abalone.Cole.1994.html
Abalone.Cole.1994,Abalone,North America>United States Of America>California,33.96,-119.98,0,10.1006/qres.1994.1037,,www.ncdc.noaa.gov/paleo/study/27330,8,10.21233/N36P49,LakeSediment,pollen,assemblage,pollen,MAT,,,precipitation,mm,abs,P,amount@surface,annual,annual,positive,-40,6113.9,193.2,1.624985781,368,TRUE,LP,,http://lipdverse.org/wNAm/0_16_2/Abalone.Cole.1994.html
AlfonsoBasin.StainesUrias.2015,Alfonso Basin,Pacific Ocean>North Pacific Ocean,24.6472,-110.6,-410,10.1016/j.yqres.2015.03.007,,wNAm,,,MarineSediment,coccolith,ratio,other microfossil,,,"""GoE values close to one would indicate La Niña-like conditions, while values closed to zero would imply strong El Niño-like conditions.""",GoE,unitless,abs,MODE,elNino,annual,annual,negative,618,22174,128,0.2635740643,0.09,TRUE,"FC, CR",,http://lipdverse.org/wNAm/0_16_2/AlfonsoBasin.StainesUrias.2015.html
AlfonsoBasin.StainesUrias.2015,Alfonso Basin,Pacific Ocean>North Pacific Ocean,24.6472,-110.6,-410,10.1016/j.yqres.2015.03.007,,wNAm,,,MarineSediment,coccolith,ratio,other microfossil,,,"""High GoF values indicate shallow nutricline, thus strong upwelling and reduced water column stratification, while low values indicate a deeper nutricline, weak upwelling and deep stratification""",GoF,unitless,abs,upwelling,@surface,annual,annual,positive,618,22174,128,0.2635740643,0.1,TRUE,"FC, CR",,http://lipdverse.org/wNAm/0_16_2/AlfonsoBasin.StainesUrias.2015.html
Andy.Szeicz.1995,Andy,North America>Canada>Northwest Territories,64.65,-128.08,1360,10.1016/0031-0182(95)00070-3,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,206,10.21233/N35X18,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,anom,T,air@surface,coldest month,winter+,positive,0,13192,186,0.3333333333,3,TRUE,"TB, DSK","fails age control, gap >3000 years (largest gap is 4170 yrs); five well-spaced ages in Holocene",http://lipdverse.org/wNAm/0_16_2/Andy.Szeicz.1995.html
